10:48:49.207 INF hub: Listening on 127.0.0.1:5000
10:48:49.207 INF ref-3: listening on 127.0.0.1:5003
10:48:49.207 INF ref-2: listening on 127.0.0.1:5002
10:48:49.207 INF ref-1: listening on 127.0.0.1:5001
10:48:49.209 INF hub: Received registration from ref-3
10:48:49.209 INF hub: Received registration from ref-2
10:48:49.209 INF hub: Received registration from ref-1
10:48:54.227 INF hub: Received registration from shoot-1
10:48:54.227 INF hub: Received registration from shoot-3
10:48:54.227 INF hub: Received registration from shoot-2
10:48:56.561 INF ref-1: Starting system sys-1 ...
10:48:56.561 INF                     ref-2: Starting system sys-1 ...
10:48:56.562 INF                                         ref-3: Starting system sys-1 ...
10:48:59.423 INF sys-1/ref-2/EPFD: Increased timeout to 0.20 seconds
10:49:01.634 INF sys-1/ref-3/EPFD: Increased timeout to 0.20 seconds
10:49:02.638 INF sys-1/ref-3/EPFD: Increased timeout to 0.30 seconds
10:49:02.638 INF sys-1/ref-1/EPFD: Increased timeout to 0.20 seconds
10:49:03.836 INF sys-1/ref-2/EPFD: Increased timeout to 0.30 seconds
10:49:05.340 INF sys-1/ref-2/EPFD: Increased timeout to 0.40 seconds
10:49:06.862 INF sys-1/ref-1/EPFD: Increased timeout to 0.30 seconds
10:49:08.063 INF sys-1/ref-1/EPFD: Increased timeout to 0.40 seconds
10:49:10.868 ERR sys-1/ref-1: Failed to send NETWORK_MESSAGE to shoot-2
10:49:10.951 ERR                     sys-1/ref-2: Failed to send NETWORK_MESSAGE to shoot-2
10:49:11.070 ERR                                         sys-1/ref-3: Failed to send NETWORK_MESSAGE to shoot-2
10:49:11.268 ERR sys-1/ref-1: Failed to send NETWORK_MESSAGE to shoot-2
10:49:11.351 ERR                     sys-1/ref-2: Failed to send NETWORK_MESSAGE to shoot-2
10:49:11.370 ERR                                         sys-1/ref-3: Failed to send NETWORK_MESSAGE to shoot-2
10:49:11.669 ERR sys-1/ref-1: Failed to send NETWORK_MESSAGE to shoot-2
10:49:11.670 ERR                                         sys-1/ref-3: Failed to send NETWORK_MESSAGE to shoot-2
10:49:11.752 ERR                     sys-1/ref-2: Failed to send NETWORK_MESSAGE to shoot-2
10:49:11.971 ERR                                         sys-1/ref-3: Failed to send NETWORK_MESSAGE to shoot-1
10:49:11.971 ERR                                         sys-1/ref-3: Failed to send NETWORK_MESSAGE to shoot-2
10:49:11.972 ERR                                         sys-1/ref-3: Failed to send NETWORK_MESSAGE to shoot-3
10:49:12.069 ERR sys-1/ref-1: Failed to send NETWORK_MESSAGE to shoot-1
10:49:12.069 ERR sys-1/ref-1: Failed to send NETWORK_MESSAGE to shoot-2
